Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,177,Research & Development,11,3,Medical,1,1,2,Female,99,4,2,Research Scientist,1,Single,4534,25419,2,Y,No,19,3,4,80,1,11,3,3,1,1,1,1
21,No,Travel_Rarely,851,Sales,11,3,Medical,1,2,2,Female,46,2,3,Sales Executive,4,Single,7314,2912,0,Y,No,16,3,3,80,1,11,3,2,1,1,0,0
29,No,Travel_Frequently,584,Sales,18,3,Medical,1,3,1,Male,72,2,5,Manager,4,Single,17543,4373,4,Y,No,18,3,3,80,1,9,3,3,8,8,7,3
30,No,Travel_Frequently,841,Research & Development,7,3,Life Sciences,1,4,2,Female,57,2,2,Laboratory Technician,1,Single,3972,11010,2,Y,No,11,3,3,80,1,10,3,4,2,2,2,2
34,No,Travel_Rarely,687,Sales,19,2,Medical,1,5,3,Female,38,3,1,Sales Representative,3,Married,3218,20805,0,Y,No,23,3,4,80,0,17,2,3,5,5,3,5
25,Yes,Travel_Frequently,927,Research & Development,24,3,Marketing,1,6,4,Male,74,2,2,Laboratory Technician,3,Single,3531,2513,2,Y,Yes,20,3,2,80,0,23,2,3,8,4,4,8
33,No,Travel_Rarely,1331,Sales,12,3,Life Sciences,1,7,4,Male,99,3,3,Sales Executive,3,Single,6483,23802,3,Y,No,14,3,2,80,1,12,3,2,9,2,6,1
40,No,Travel_Rarely,655,Sales,22,2,Medical,1,8,2,Male,90,3,5,Manager,1,Single,19999,4759,2,Y,No,14,3,4,80,0,16,3,3,4,4,4,3
32,No,Non-Travel,1061,Research & Development,9,3,Life Sciences,1,9,3,Female,81,3,2,Research Scientist,3,Single,5151,21707,5,Y,Yes,13,3,2,80,0,25,2,2,15,2,0,15
58,No,Non-Travel,593,Research & Development,7,3,Technical Degree,1,10,4,Female,65,3,1,Laboratory Technician,2,Single,2870,14640,3,Y,No,16,4,1,80,0,12,4,3,1,1,1,1
