Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Binary,AttritionRisk_Score,AttritionRisk_Tier
35,No,Travel_Rarely,177,Research & Development,11,3,Medical,2,Female,99,4,2,Research Scientist,1,Single,4534,25419,2,No,19,3,4,1,11,3,3,1,1,1,1,0,0.2131,Low
21,No,Travel_Rarely,851,Sales,11,3,Medical,2,Female,46,2,3,Sales Executive,4,Single,7314,2912,0,No,16,3,3,1,11,3,2,1,1,0,0,0,0.1026,Low
29,No,Travel_Frequently,584,Sales,18,3,Medical,1,Male,72,2,5,Manager,4,Single,17543,4373,4,No,18,3,3,1,9,3,3,8,8,7,3,0,0.0643,Low
30,No,Travel_Frequently,841,Research & Development,7,3,Life Sciences,2,Female,57,2,2,Laboratory Technician,1,Single,3972,11010,2,No,11,3,3,1,10,3,4,2,2,2,2,0,0.1781,Low
34,No,Travel_Rarely,687,Sales,19,2,Medical,3,Female,38,3,1,Sales Representative,3,Married,3218,20805,0,No,23,3,4,0,17,2,3,5,5,3,5,0,0.1603,Low
25,Yes,Travel_Frequently,927,Research & Development,24,3,Marketing,4,Male,74,2,2,Laboratory Technician,3,Single,3531,2513,2,Yes,20,3,2,0,23,2,3,8,4,4,8,1,0.6079,High
33,No,Travel_Rarely,1331,Sales,12,3,Life Sciences,4,Male,99,3,3,Sales Executive,3,Single,6483,23802,3,No,14,3,2,1,12,3,2,9,2,6,1,0,0.055,Low
40,No,Travel_Rarely,655,Sales,22,2,Medical,2,Male,90,3,5,Manager,1,Single,19999,4759,2,No,14,3,4,0,16,3,3,4,4,4,3,0,0.072,Low
32,No,Non-Travel,1061,Research & Development,9,3,Life Sciences,3,Female,81,3,2,Research Scientist,3,Single,5151,21707,5,Yes,13,3,2,0,25,2,2,15,2,0,15,0,0.3186,Medium
58,No,Non-Travel,593,Research & Development,7,3,Technical Degree,4,Female,65,3,1,Laboratory Technician,2,Single,2870,14640,3,No,16,4,1,0,12,4,3,1,1,1,1,0,0.6626,High
27,Yes,Travel_Frequently,1268,Research & Development,8,4,Medical,3,Male,67,3,2,Research Scientist,4,Married,3679,25311,1,Yes,14,3,4,0,10,5,2,1,1,1,1,1,0.5055,Medium
52,Yes,Travel_Rarely,237,Research & Development,18,3,Life Sciences,1,Female,80,3,2,Research Scientist,2,Married,4156,10612,0,Yes,24,3,2,0,4,2,3,2,2,2,2,1,0.8248,High
30,No,Travel_Rarely,1289,Sales,10,2,Life Sciences,4,Male,34,4,1,Sales Representative,1,Single,3418,14438,0,No,13,3,3,0,3,2,3,0,0,0,0,0,0.4368,Medium
47,No,Travel_Rarely,1180,Research & Development,8,3,Medical,3,Female,98,4,1,Laboratory Technician,4,Married,2533,20525,3,Yes,25,3,2,1,18,4,4,5,5,4,5,0,0.2608,Low
54,No,Travel_Frequently,515,Sales,18,3,Life Sciences,2,Male,91,3,3,Sales Executive,3,Married,9167,24043,0,No,24,3,3,1,21,5,3,4,4,4,4,0,0.0472,Low
47,No,Travel_Rarely,481,Research & Development,12,2,Medical,4,Male,75,3,4,Research Director,4,Single,13793,19803,1,No,15,3,4,0,37,2,3,34,17,13,12,0,0.0933,Low
22,No,Travel_Frequently,403,Research & Development,7,4,Medical,4,Male,76,3,3,Research Scientist,3,Single,6650,15201,4,No,24,3,4,3,9,2,2,4,4,4,4,0,0.0816,Low
60,No,Travel_Frequently,1192,Research & Development,8,1,Life Sciences,3,Female,82,2,4,Research Director,1,Single,13574,22604,3,No,16,3,2,3,29,5,3,16,15,5,0,0,0.1084,Low
42,Yes,Travel_Rarely,926,Research & Development,24,3,Life Sciences,4,Female,86,3,1,Healthcare Representative,3,Single,3354,19879,7,Yes,11,4,4,1,12,4,2,9,9,7,6,1,0.6281,High
29,No,Non-Travel,376,Sales,17,3,Marketing,4,Male,50,4,2,Sales Representative,2,Divorced,3756,12594,1,Yes,13,3,4,0,36,6,4,17,9,6,3,0,0.3113,Medium
47,No,Travel_Rarely,847,Research & Development,21,5,Medical,3,Male,38,3,2,Research Scientist,2,Divorced,3702,17066,5,No,11,3,2,2,40,5,4,25,7,13,17,0,0.1499,Low
56,No,Travel_Rarely,326,Sales,27,2,Medical,2,Male,64,4,1,Manager,3,Married,3318,14765,2,No,14,3,4,1,5,2,3,0,0,0,0,0,0.3385,Medium
29,No,Travel_Rarely,1329,Research & Development,8,3,Technical Degree,4,Male,50,3,3,Research Scientist,2,Married,6778,23197,1,Yes,20,3,1,1,15,1,3,1,1,1,1,0,0.3785,Medium
22,No,Travel_Rarely,1286,Research & Development,20,4,Life Sciences,4,Female,81,3,2,Research Scientist,2,Single,4762,12362,3,No,22,3,2,1,25,5,3,9,2,9,9,0,0.0726,Low
54,Yes,Travel_Rarely,163,Research & Development,10,3,Medical,1,Male,93,3,3,Research Director,3,Single,9459,14342,3,Yes,19,3,4,0,13,3,2,5,5,5,0,1,0.3411,Medium
30,No,Travel_Rarely,1434,Research & Development,28,3,Life Sciences,4,Male,34,3,2,Research Scientist,1,Divorced,4189,5207,1,No,11,3,2,0,16,2,4,13,2,12,12,0,0.1357,Low
